Time: 16.526331901550293

Number of clusters: 25978
Cluster 331: 0 instances 
Cluster 332: 0 instances 
Cluster 333: 0 instances 
Cluster 334: 0 instances 
Cluster 335: 0 instances 
Cluster 336: 0 instances 
Cluster 337: 0 instances 
Cluster 338: 0 instances 
Cluster 339: 0 instances 
Cluster 340: 0 instances 
Cluster 341: 0 instances 
Cluster 342: 0 instances 
Cluster 343: 0 instances 
Cluster 344: 0 instances 
Cluster 345: 0 instances 
Cluster 346: 0 instances 
Cluster 347: 0 instances 
Cluster 348: 0 instances 
Cluster 349: 0 instances 
Cluster 350: 0 instances 
Cluster 351: 0 instances 
Cluster 352: 0 instances 
Cluster 353: 0 instances 
Cluster 354: 0 instances 
Cluster 355: 0 instances 
Cluster 356: 0 instances 
Cluster 357: 0 instances 
Cluster 358: 0 instances 
Cluster 359: 0 instances 
Cluster 360: 0 instances 
Cluster 361: 0 instances 
Cluster 362: 0 instances 
Cluster 363: 0 instances 
Cluster 364: 0 instances 
Cluster 365: 0 instances 
Cluster 366: 0 instances 
Cluster 367: 0 instances 
Cluster 368: 0 instances 
Cluster 369: 0 instances 
Cluster 370: 0 instances 
Cluster 371: 0 instances 
Cluster 372: 0 instances 
Cluster 373: 0 instances 
Cluster 374: 0 instances 
Cluster 375: 0 instances 
Cluster 376: 0 instances 
Cluster 377: 0 instances 
Cluster 378: 0 instances 
Cluster 379: 0 instances 
Cluster 380: 0 instances 
Cluster 381: 0 instances 
Cluster 382: 0 instances 
Cluster 383: 0 instances 
Cluster 384: 0 instances 
Cluster 385: 0 instances 
Cluster 386: 0 instances 
Cluster 387: 0 instances 
Cluster 388: 0 instances 
Cluster 389: 0 instances 
Cluster 390: 0 instances 
Cluster 391: 0 instances 
Cluster 392: 0 instances 
Cluster 393: 0 instances 
Cluster 394: 0 instances 
Cluster 395: 0 instances 
Cluster 396: 0 instances 
Cluster 397: 0 instances 
Cluster 398: 0 instances 
Cluster 399: 0 instances 
Cluster 400: 0 instances 
Cluster 401: 0 instances 
Cluster 402: 0 instances 
Cluster 403: 0 instances 
Cluster 404: 0 instances 
Cluster 405: 0 instances 
Cluster 406: 0 instances 
Cluster 407: 0 instances 
Cluster 408: 0 instances 
Cluster 409: 0 instances 
Cluster 410: 0 instances 
Cluster 411: 0 instances 
Cluster 412: 0 instances 
Cluster 413: 0 instances 
Cluster 414: 0 instances 
Cluster 415: 0 instances 
Cluster 416: 0 instances 
Cluster 417: 0 instances 
Cluster 418: 0 instances 
Cluster 419: 0 instances 
Cluster 420: 0 instances 
Cluster 421: 0 instances 
Cluster 422: 0 instances 
Cluster 423: 0 instances 
Cluster 424: 0 instances 
Cluster 425: 0 instances 
Cluster 426: 0 instances 
Cluster 427: 0 instances 
Cluster 428: 0 instances 
Cluster 429: 0 instances 
Cluster 430: 0 instances 
Cluster 431: 0 instances 
Cluster 432: 0 instances 
Cluster 433: 0 instances 
Cluster 434: 0 instances 
Cluster 435: 0 instances 
Cluster 436: 0 instances 
Cluster 437: 0 instances 
Cluster 438: 0 instances 
Cluster 439: 0 instances 
Cluster 440: 0 instances 
Cluster 441: 0 instances 
Cluster 442: 0 instances 
Cluster 443: 0 instances 
Cluster 444: 0 instances 
Cluster 445: 0 instances 
Cluster 446: 0 instances 
Cluster 447: 0 instances 
Cluster 448: 0 instances 
Cluster 449: 0 instances 
Cluster 450: 0 instances 
Cluster 451: 0 instances 
Cluster 452: 0 instances 
Cluster 453: 0 instances 
Cluster 454: 0 instances 
Cluster 455: 0 instances 
Cluster 456: 0 instances 
Cluster 457: 0 instances 
Cluster 458: 0 instances 
Cluster 459: 0 instances 
Cluster 460: 0 instances 
Cluster 461: 0 instances 
Cluster 462: 0 instances 
Cluster 463: 0 instances 
Cluster 464: 0 instances 
Cluster 465: 0 instances 
Cluster 466: 0 instances 
Cluster 467: 0 instances 
Cluster 468: 0 instances 
Cluster 469: 0 instances 
Cluster 470: 0 instances 
Cluster 471: 0 instances 
Cluster 472: 0 instances 
Cluster 473: 0 instances 
Cluster 474: 0 instances 
Cluster 475: 0 instances 
Cluster 476: 0 instances 
Cluster 477: 0 instances 
Cluster 478: 0 instances 
Cluster 479: 0 instances 
Cluster 480: 0 instances 
Cluster 481: 0 instances 
Cluster 482: 0 instances 
Cluster 483: 0 instances 
Cluster 484: 0 instances 
Cluster 485: 0 instances 
Cluster 486: 0 instances 
Cluster 487: 0 instances 
Cluster 488: 0 instances 
Cluster 489: 0 instances 
Cluster 490: 0 instances 
Cluster 491: 0 instances 
Cluster 492: 0 instances 
Cluster 493: 0 instances 
Cluster 494: 0 instances 
Cluster 495: 0 instances 
Cluster 496: 0 instances 
Cluster 497: 0 instances 
Cluster 498: 0 instances 
Cluster 499: 0 instances 
Cluster 500: 0 instances 
Cluster 501: 0 instances 
Cluster 502: 0 instances 
Cluster 503: 0 instances 
Cluster 504: 0 instances 
Cluster 505: 0 instances 
Cluster 506: 0 instances 
Cluster 507: 0 instances 
Cluster 508: 0 instances 
Cluster 509: 0 instances 
Cluster 510: 0 instances 
Cluster 511: 0 instances 
Cluster 512: 0 instances 
Cluster 513: 0 instances 
Cluster 514: 0 instances 
Cluster 515: 0 instances 
Cluster 516: 0 instances 
Cluster 517: 0 instances 
Cluster 518: 0 instances 
Cluster 519: 0 instances 
Cluster 520: 0 instances 
Cluster 521: 0 instances 
Cluster 522: 0 instances 
Cluster 523: 0 instances 
Cluster 524: 0 instances 
Cluster 525: 0 instances 
Cluster 526: 0 instances 
Cluster 527: 0 instances 
Cluster 528: 0 instances 
Cluster 529: 0 instances 
Cluster 530: 0 instances 
Cluster 531: 0 instances 
Cluster 532: 0 instances 
Cluster 533: 0 instances 
Cluster 534: 0 instances 
Cluster 535: 0 instances 
Cluster 536: 0 instances 
Cluster 537: 0 instances 
Cluster 538: 0 instances 
Cluster 539: 0 instances 
Cluster 540: 0 instances 
Cluster 541: 0 instances 
Cluster 542: 0 instances 
Cluster 543: 0 instances 
Cluster 544: 0 instances 
Cluster 545: 0 instances 
Cluster 546: 0 instances 
Cluster 547: 0 instances 
